candidate,office,district,party,county,precinct,total votes ,election day,early voting
Dale Stephens ,House of Delegates,16,DEM,Wayne,Precinct 61,159,159,0
No Candidate Filed,House of Delegates,16,,Wayne,Precinct 61,0,0,0
No Candidate Filed,House of Delegates,16,,Wayne,Precinct 61,0,0,0
Write-in,House of Delegates,16,,Wayne,Precinct 61,4,4,0
,Registered Voters,,,Wayne,Precinct 61,1140,,
,Ballots Cast,,,Wayne,Precinct 62,553,553,0
,Straight Party,,REP,Wayne,Precinct 62,84,84,0
,Straight Party,,DEM,Wayne,Precinct 62,84,84,0
,Straight Party,,MTN,Wayne,Precinct 62,3,3,0
John R. Raese,US Senate,,REP,Wayne,Precinct 62,256,256,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 62,277,277,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 62,1,1,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 62,10,10,0
Write-in,US Senate,,,Wayne,Precinct 62,1,1,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 62,276,276,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 62,261,261,0
No Candidate Filed,US House,3,,Wayne,Precinct 62,0,0,0
Write-in,US House,3,,Wayne,Precinct 62,1,1,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 62,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 62,317,317,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 62,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 62,3,3,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 62,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 62,382,382,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 62,293,293,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 62,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 62,1,1,0
,Registered Voters,,,Wayne,Precinct 63,552,,
,Ballots Cast,,,Wayne,Precinct 63,235,235,0
,Straight Party,,REP,Wayne,Precinct 63,27,27,0
,Straight Party,,DEM,Wayne,Precinct 63,37,37,0
,Straight Party,,MTN,Wayne,Precinct 63,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 63,95,95,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 63,129,129,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 63,1,1,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 63,2,2,0
Write-in,US Senate,,,Wayne,Precinct 63,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 63,99,99,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 63,124,124,0
No Candidate Filed,US House,3,,Wayne,Precinct 63,0,0,0
Write-in,US House,3,,Wayne,Precinct 63,0,0,0
No Candidate Filed,State Senate,5,,Wayne,Precinct 63,0,0,0
Evan H. Jenkins,State Senate,5,DEM,Wayne,Precinct 63,183,183,0
No Candidate Filed,State Senate,5,,Wayne,Precinct 63,0,0,0
Write-in,State Senate,5,,Wayne,Precinct 63,2,2,0
Kelli Sobonya ,House of Delegates,16,REP,Wayne,Precinct 63,133,133,0
T Anne See,House of Delegates,16,REP,Wayne,Precinct 63,74,74,0
No Candidate Filed,House of Delegates,16,,Wayne,Precinct 63,0,0,0
Doug Reynolds ,House of Delegates,16,DEM,Wayne,Precinct 63,147,147,0
Dale Stephens ,House of Delegates,16,DEM,Wayne,Precinct 63,143,143,0
No Candidate Filed,House of Delegates,16,,Wayne,Precinct 63,0,0,0
No Candidate Filed,House of Delegates,16,,Wayne,Precinct 63,0,0,0
Write-in,House of Delegates,16,,Wayne,Precinct 63,4,4,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
